what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951230069
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951231764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445951233484
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951234187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445951234777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951259809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951269231
no handler,command,org.eclipse.jdt.debug.ui,,"org.eclipse.jdt.debug.ui.commands.Display",1445951271517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445951272300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951277016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951283258
no handler,command,org.eclipse.jdt.debug.ui,,"org.eclipse.jdt.debug.ui.commands.Display",1445951284613
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445951286845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951293909
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1445951295355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951295542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951310550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951312542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951315558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951316974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951321537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951325847
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1445951326680
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951327436
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1445951327459
opened,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951331034
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951331096
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1445951331120
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951338262
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951339557
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951341553
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951346233
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951347029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951347832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951349493
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951350347
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951355947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445951364165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951366718
executed,command,rcs.rtpl.xtext.esterel.builder,1.1.1.b,"rcs.rtpl.xtext.esterel.builder.commands.buildEsterel",1445951366897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951366916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951367283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951375191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951375511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951375687
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951381747
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951383861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445951392266
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1445951396523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951398674
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1445951403537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1445951403538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951403566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951404629
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951406783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951406813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951428813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951436939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445951436966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951440863
executed,command,rcs.rtpl.xtext.esterel.builder,1.1.1.b,"rcs.rtpl.xtext.esterel.builder.commands.buildEsterel",1445951443578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951443603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951443957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951446273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951446582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951447055
executed,command,rcs.rtpl.xtext.esterel.builder,1.1.1.b,"rcs.rtpl.xtext.esterel.builder.commands.runEsterel",1445951461011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951461383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951463966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951464281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951465091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951465242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951476339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951480425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951486985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951489433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951491817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951502578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951515568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951537123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951544248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445951561478
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1445951572546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951579300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951624323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951632248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951647321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951650496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951659827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951662933
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1445951669417
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1445951669475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951669559
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1445951672375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951673322
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1445951674413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445951674413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951674432
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1445951674493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951677259
error,log,,,"org.eclipse.xtext.builder.nature.ToggleXtextNatureAction  - org.eclipse.core.internal.resources.ResourceException: Could not set the project description for 'TUT3_STOPWATCH' because the project description file (.project) is out of sync with the file system.\n",1445951689880
opened,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951689882
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951689950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951689995
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951692132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445951695843
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951696914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445951697785
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951804058
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951810739
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951827354
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445951831081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445951860062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951885067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951904299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445951905641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951910356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951920681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951922332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951927628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445951928795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952131019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952259900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952267021
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445952270206
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445952276353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445952350699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952542135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952655599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952658919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952693256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952717159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952720433
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445952720602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952721484
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445952724602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952724637
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445952725472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445952736721
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445952737599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445952739881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445952745820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445952748709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445952952130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953056851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953093000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953095992
executed,command,org.eclipse.xtext.ui,2.2.1.v201112130541,"org.eclipse.xtext.ui.ToggleCommentAction",1445953119593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953178163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953180683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953185947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953244481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953246587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953249451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953255173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953281060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953281764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953370159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953373284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953375644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1445953397731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953502988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953504901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953505443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953506533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953511317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953546197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953548333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953659542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953662453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953666471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953965311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445953990110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954028728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954047952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1445954095336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954264406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954375203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954376418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954379573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954383586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954384684
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1445954386137
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1445954390223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954392864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954401224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445954405675
