what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.xtext.xbase.ui,2.2.1.v201112130541,"org.eclipse.xtext.xbase.ui",1446835138449
started,bundle,org.eclipse.xtext.xtend2,2.2.1.v201112130541,"org.eclipse.xtext.xtend2",1446835138450
started,bundle,org.eclipse.xtext.xtend2.ui,2.2.1.v201112130541,"org.eclipse.xtext.xtend2.ui",1446835138480
started,bundle,rcs.rtpl.xtext.esterel2012,1.0.4,"rcs.rtpl.xtext.esterel2012",1446835138480
started,bundle,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.ui",1446835138480
started,bundle,org.eclipse.emf.common,2.9.0.v20130528-0742,"org.eclipse.emf.common",1446835138487
started,bundle,org.eclipse.emf.ecore,2.9.0.v20130528-0742,"org.eclipse.emf.ecore",1446835138487
started,bundle,org.eclipse.emf.ecore.xmi,2.9.0.v20130528-0742,"org.eclipse.emf.ecore.xmi",1446835138488
os,sysinfo,,,"linux",1446835138492
arch,sysinfo,,,"x86",1446835138492
ws,sysinfo,,,"gtk",1446835138492
locale,sysinfo,,,"en_US",1446835138492
processors,sysinfo,,,"1",1446835138492
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1446835138492
java.runtime.version,sysinfo,,,"1.6.0_31-b31",1446835138492
java.specification.name,sysinfo,,,"Java Platform API Specification",1446835138492
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446835138492
java.specification.version,sysinfo,,,"1.6",1446835138492
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1446835138492
java.version,sysinfo,,,"1.6.0_31",1446835138492
java.vm.info,sysinfo,,,"mixed mode, sharing",1446835138492
java.vm.name,sysinfo,,,"OpenJDK Client VM",1446835138492
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446835138492
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1446835138492
java.vm.specification.version,sysinfo,,,"1.0",1446835138492
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1446835138492
java.vm.version,sysinfo,,,"23.25-b01",1446835138492
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1446835138606
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1446835141941
opened,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1446835216030
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1446835216098
started,bundle,rcs.rtpl.xtext.esterel.builder,1.1.1.b,"rcs.rtpl.xtext.esterel.builder",1446835238059
