what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577141890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577142194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577142827
executed,command,rcs.rtpl.xtext.esterel.builder,1.1.1.b,"rcs.rtpl.xtext.esterel.builder.commands.buildEsterel",1446577148326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577148698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577150444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577150757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577150961
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1446577154421
activated,editor,rcs.rtpl.xtext.esterel2012.ui,1.0.4,"rcs.rtpl.xtext.esterel2012.Esterel",1446577160543
executed,command,rcs.rtpl.xtext.esterel.builder,1.1.1.b,"rcs.rtpl.xtext.esterel.builder.commands.runEsterel",1446577164045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577164394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577167469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577167780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577168426
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1446577182548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577244408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577262979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577268818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577277498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1446577280513
